what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960115521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960118969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960123734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960130259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960130435
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960131717
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960136467
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960142731
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1312960145611
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1312960146127
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1312960146417
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1312960146973
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1312960148081
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1312960148138
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1312960149153
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960149788
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960151756
error,log,,,"Core exception while retrieving the content description",1312960152959
error,log,,,"Core exception while retrieving the content description",1312960152967
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960155093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960169353
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960172008
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960176601
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1312960179145
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960180149
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960182539
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1312960182545
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312960184169
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1312960184169
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312960184924
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312960184925
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1312960185810
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312960185813
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1312960638686
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960639602
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960639979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1312960639985
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1312960642581
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1312960643457
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1312960644369
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960645907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960646769
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1312960646774
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1312960647777
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960655280
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960664791
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960667672
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960669407
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1312960673569
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1312960674846
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1312960674891
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1312960676485
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1312960676969
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1312960678256
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1312960678256
error,log,,,"Core exception while retrieving the content description",1312960679342
error,log,,,"Core exception while retrieving the content description",1312960679358
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960685195
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960690162
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960690559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960769642
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960770779
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960783330
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960784087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960795661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312960798618
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312961661508
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312961668486
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312961669703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312961670395
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312961671364
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312961672165
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312961674043
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312961679980
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312961680176
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312961686086
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1312961686494
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1312961686495
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1312961686496
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1312961686496
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20110508,"org.eclipse.pde.runtime",1312961686497
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1312961686497
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110516,"org.eclipse.pde.ui.templates",1312961686500
stopped,bundle,org.eclipse.rap.ui.launch,1.4.0.20110614-2335,"org.eclipse.rap.ui.launch",1312961686500
stopped,bundle,org.eclipse.rap.ui.templates,1.4.0.20110614-2335,"org.eclipse.rap.ui.templates",1312961686501
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1312961686502
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1312961686505
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1312961686506
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1312961686506
stopped,bundle,org.eclipse.egit.ui,1.0.0.201106090707-r,"org.eclipse.egit.ui",1312961686507
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1312961686509
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1312961686509
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1312961686599
stopped,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1312961686599
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1312961686599
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1312961686600
stopped,bundle,org.eclipse.rap.ui.launch.rwt,1.4.0.20110614-2335,"org.eclipse.rap.ui.launch.rwt",1312961686600
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1312961686603
stopped,bundle,org.eclipse.m2e.jdt,1.0.0.20110607-2117,"org.eclipse.m2e.jdt",1312961686603
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1312961686603
stopped,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1312961686616
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1312961686616
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1312961686619
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1312961686620
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1312961686620
stopped,bundle,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui",1312961686620
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1312961686621
stopped,bundle,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui",1312961686623
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1312961686668
stopped,bundle,org.eclipse.m2e.core.ui,1.0.0.20110607-2117,"org.eclipse.m2e.core.ui",1312961686670
stopped,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1312961686670
stopped,bundle,org.eclipse.m2e.core,1.0.0.20110607-2117,"org.eclipse.m2e.core",1312961686689
stopped,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1312961686696
stopped,bundle,org.eclipse.mylyn.commons.team,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.team",1312961686696
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1312961686698
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1312961686698
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1312961686700
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1312961686700
stopped,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1312961686700
stopped,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1312961686701
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1312961686703
stopped,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1312961686703
stopped,bundle,org.eclipse.mylyn.help.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.help.ui",1312961686704
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.bugs",1312961686704
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1312961686705
stopped,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1312961686751
stopped,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1312961686785
stopped,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1312961686785
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1312961686786
stopped,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1312961686788
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1312961686789
stopped,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1312961686789
stopped,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1312961686789
stopped,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1312961686826
